delivery_id,prediction
194096,2710.8828
236895,2802.0085
190868,2689.0115
183076,2594.9578
186200,3545.2473
86219,3028.632
35439,2957.7986
123927,2320.1438
107026,3415.1665
90341,2405.8901
50475,2988.9607
221414,2614.6155
119153,2566.369
248838,2447.6826
125516,3352.1897
240286,2082.6252
33116,2817.1404
237801,1870.2765
102948,2228.0186
26470,3139.958
210063,2559.987
76850,2822.632
144841,2395.9797
195839,2767.154
52177,2662.5588
64485,2685.4104
150042,3201.4905
41052,2688.081
193495,2579.9446
165249,2822.077
236833,2686.258
214592,2367.7253
75705,2136.8655
51283,2862.3618
169532,2967.8098
182602,2364.7598
217450,3098.906
108883,2433.0803
234476,2114.9055
127581,2307.9885
49108,2437.4563
184983,2828.3289
120400,2558.5984
157120,2472.2498
110989,2698.5632
81772,2654.3118
84725,2862.9614
14678,2541.7979
232839,3014.6697
53138,2027.097
99809,3099.8345
250568,2007.9807
23428,2617.2239
211741,2777.9368
28721,2568.013
13046,2991.9087
120976,2264.1638
235804,2370.9907
237211,2326.5872
101398,2670.0354
117193,2780.2021
215135,2304.2063
67787,2143.1301
187307,2195.4934
1154,3019.7122
98407,2691.2349
6183,2223.6309
18915,2137.4883
224350,2198.1396
114015,2724.9563
9734,2766.9666
19998,2732.0056
42148,2578.8333
211635,2541.9424
115361,2094.635
163220,2567.1003
157797,2664.887
13337,3356.3616
6507,2267.0906
42062,1899.9576
192674,2994.6218
83456,3042.9543
226554,2267.0906
45602,2606.0105
228776,2696.738
127211,2385.8738
139323,2070.6252
200710,2641.587
135310,2640.0627
240727,2349.0493
12509,2309.569
125897,2159.6067
112110,2520.0383
5486,2534.1692
105831,2130.7607
86840,2074.3005
51034,1736.0475
225545,2458.7517
169104,2141.7954
41676,2031.7964
108010,2435.771
238500,2334.6882
103318,2113.7605
30810,2361.907
235600,2824.3892
232838,2315.9382
43717,2424.4822
189723,2151.0178
145711,2030.0663
135693,2247.519
198349,2235.3635
228537,1846.6875
195586,2378.039
246298,2051.6665
65385,2406.3066
169707,3504.1365
157796,1951.3014
107044,2160.0571
53434,3156.699
223440,1868.1866
121112,1907.819
145842,2772.1985
219061,2669.7231
102424,2923.897
175748,2278.691
193925,2571.8586
